MD, Blog_160886-11338497.2, 14, ADP, i
MD, Blog_188519-17383062.8, 9, SCONJ, än
MD, Blog_188519-10179826.24, 1, CCONJ, Så
MD, Blog_13263-144355.3, 12, ADP, av
MD, Blog_13263-728008.3, 15, ADP, med
MD, Blog_12325-2172538.9, 16, INTJ, vafan
MD, Blog_12325-2413172.3, 16, ADP, av
MD, Blog_12325-2413172.7, 20, INTJ, fasen
MD, Blog_12325-2413172.16, 1, CCONJ, Ömsom
MD, Blog_12325-2413172.16, 4, CCONJ, ömsom
MD, Blog_12325-1189192.6, 1, CCONJ, Dels
MD, Blog_12325-1189192.6, 16, CCONJ, dels
MD, Blog_265827-14749671.2, 25, ADP, på
MD, Blog_265827-14454804.7, 16, ADP, på
MD, Blog_265827-14889090.2, 15, ADP, på
MD, Blog_265827-14889090.3, 8, ADP, på
MD, Blog_265827-15106304.8, 2, INTJ, ja
MD, Blog_6843-4868011.6, 16, ADP, i
MD, Blog_6843-4255016.6, 9, ADP, med
MD, Blog_6843-3465275.6, 25, ADP, med
MD, Blog_6843-4575758.4, 1, ADP, I
MD, Blog_6843-4575758.4, 14, CCONJ, ju
MD, Blog_6843-2767923.9, 9, ADP, med
MD, Blog_6843-2767923.16, 45, ADP, i
MD, Blog_5089-9048317.32, 10, ADP, på
MD, Blog_5089-12282516.4, 14, CCONJ, ju
MD, Blog_5089-12282516.13, 8, CCONJ, ju
MD, Blog_5089-9240616.11, 30, VB, handlade
MD, Blog_5089-62681.13, 5, ADP, med
MD, Blog_54523-8202951.6, 15, VB, tillsagd
MD, Blog_54523-9913239.11, 21, CCONJ, ju
MD, Blog_54523-14269154.4, 12, CCONJ, ju
MD, Blog_54523-14269154.4, 16, CCONJ, ju
MD, Eupa_00-01-17.36, 12, ADP, i
MD, Eupa_00-01-17.44, 23, VB, förvisade
MD, Eupa_00-01-17.152, 23, CCONJ, ju
MD, Eupa_00-01-17.225, 1, ADP, I
MD, Eupa_00-01-17.329, 25, SCONJ, om
MD, Eupa_00-01-17.393, 8, ADP, i
MD, Eupa_00-01-17.398, 13, VB, tagen
MD, Eupa_00-01-17.467, 8, ADP, av
MD, Eupa_00-01-17.519, 10, ADP, med
MD, Eupa_00-01-17.565, 3, SCONJ, medan
MD, Eupa_00-01-17.668, 30, ADP, på
MD, Eupa_00-01-17.709, 19, SCONJ, såsom
MD, Eupa_00-01-17.716, 23, SCONJ, där
DT, Eupa_00-01-17.743, 10, PRON, samtliga
DT, Digi_2014-08.21, 5, PRON, ett
MD, Arbt_Hardkritik.3, 14, VB, slagen
MD, Arbt_Vrede.10, 13, ADP, om
MD, Regr_255053.10, 16, ADP, i
DT, Arbt_Folkomrostningen.3, 8, PRON, samtliga
MD, Arbt_Ariel.38, 1, CCONJ, Dels
MD, Arbt_Ariel.43, 4, CCONJ, dels
MD, Regr_255926.6, 13, CCONJ, dels
MD, Regr_255655.6, 15, SCONJ, då
MD, Digi_2014-05.4, 6, ADP, i
MD, Digi_2014-05.25, 17, SCONJ, om
MD, Regr_255284.11, 9, ADP, av
DT, Regr_255284.15, 6, PRON, samtliga
MD, Arbt_Spekulationer.21, 11, ADP, i
MD, Regr_255175.12, 12, ADP, från
MD, Arbt_Sundsvallssyndikalister.10, 8, VB, tvungen
MD, Regr_255670.19, 16, VB, lurade
MD, Regr_255193.5, 13, CCONJ, ju
MD, Regr_255706.17, 2, ADP, bland
MD, Regr_255346.2, 1, ADP, Från
MD, Arbt_Olagligjakt.22, 17, ADP, av
MD, Arbt_Riskerna.2, 18, ADP, om
MD, Arbt_Riskerna.20, 6, CCONJ, ju
MD, Romn_Lundqvist-Ingentobak.187, 16, VB, avbruten
MD, Romn_Lundqvist-Ingentobak.250, 21, ADP, på
MD, Romn_Lundqvist-Ingentobak.275, 12, ADP, av
MD, Romn_Lundqvist-Ingentobak.403, 2, INTJ, tusan
MD, Romn_Lundqvist-Ingentobak.420, 3, INTJ, fan
MD, Romn_Bjelvehammar-TageBengtsson.20, 13, VB, grundlurad
DT, Romn_Bjelvehammar-TageBengtsson.43, 2, PRON, allting
MD, Romn_Bjelvehammar-TageBengtsson.57, 9, ADP, på
MD, Romn_Holmsen-Polynesiskpassad.86, 5, ADP, av
MD, Romn_Holmsen-Polynesiskpassad.113, 32, CCONJ, ju
MD, Romn_Holmsen-Polynesiskpassad.149, 16, SCONJ, då
MD, Romn_Holmsen-Polynesiskpassad.204, 10, ADP, på
MD, Romn_Holmsen-Polynesiskpassad.235, 17, ADP, med
DT, Romn_Strand-Pagarna.124, 14, PRON, er
MD, Romn_Strand-Pagarna.124, 16, ADP, i
DT, Romn_Strand-Pagarna.214, 1, PRON, mina
MD, Romn_Strand-Pagarna.295, 15, ADP, med
MD, Romn_Strand-Pagarna.320, 17, ADP, på
MD, Romn_Strand-Pagarna.339, 9, CCONJ, så
MD, Romn_Strand-Pagarna.357, 4, CCONJ, ju
MD, Romn_Strand-Pagarna.381, 3, CCONJ, ju
DT, Romn_Strand-Pagarna.387, 2, CCONJ, och
MD, Romn_Strand-Pagarna.436, 10, CCONJ, ju
MD, Wiki_Asterix.13, 14, ADP, med
MD, Wiki_Asterix.20, 12, CCONJ, dels
MD, Wiki_Asterix.20, 37, CCONJ, dels
DT, Wiki_Asterix.33, 8, PRON, sig
MD, Wiki_Asterix.39, 17, ADP, på
MD, Wiki_Asterix.48, 14, ADP, av
MD, Wiki_Asterix.75, 1, ADP, Från
MD, Wiki_Hastighetsmatare.5, 1, ADP, Från
MD, Wiki_HarryPotter.28, 10, CCONJ, ju
MD, Wiki_HarryPotter.28, 31, CCONJ, ju
MD, Wiki_Saganomringenfilm.53, 16, VB, skjuten
MD, Wiki_Semester.4, 12, ADP, på
MD, Wiki_VascodaGama.16, 9, VB, utvald
MD, Wiki_Vader.129, 12, VB, uppvärmt
DT, Wiki_Vader.158, 18, PRON, samtliga
MD, Wiki_Vader.188, 11, SYM, ±
DT, Wiki_MiominMio.38, 3, PRON, varsin
MD, Wiki_MiominMio.52, 13, SCONJ, där
MD, Wiki_MiominMio.69, 14, ADP, med
DT, Wiki_MiominMio.123, 25, PRON, vi
MD, Wiki_Jonssonligan.14, 30, ADP, på
MD, Wiki_Jonssonligan.36, 15, ADP, med
MD, Wiki_Sverigesriksdag.11, 10, CCONJ, dels
MD, Wiki_Sverigesriksdag.11, 17, CCONJ, dels
MD, Wiki_Sverigesriksdag.11, 39, CCONJ, dels
MD, Wiki_Sverigesriksdag.29, 7, CCONJ, dels
MD, Wiki_Sverigesriksdag.29, 17, CCONJ, dels
MD, Wiki_Sverigesriksdag.53, 6, ADP, undan
MD, Wiki_Sverigesriksdag.61, 19, VB, representerade
MD, Wiki_Sverigesriksdag.76, 17, CCONJ, ju
MD, Wiki_Sverigesriksdag.108, 12, CCONJ, dels
MD, Wiki_Sverigesriksdag.108, 23, CCONJ, dels
