sent_id	phrase_id	coordinator_id	coordinator_pos
Blog_160886-11338497.4	Blog_160886-11338497.4.1	12	PE
Blog_188519-10179826.41	Blog_188519-10179826.41.10	14	AJ
Blog_188519-10179826.47	Blog_188519-10179826.47.11	17	AB
Blog_12325-1884438.6	Blog_12325-1884438.6.15	15	SU
Blog_6843-5164672.12	Blog_6843-5164672.12.5	14	NN
Blog_9154-4949551.4	Blog_9154-4949551.4.16	7	PE
Blog_54523-7856343.8	Blog_54523-7856343.8.34	26	AB
Blog_54523-8202951.12c	Blog_54523-8202951.12c.49	25	AB
Blog_54523-9913239.11	Blog_54523-9913239.11.19	43	SU
Blog_54523-9491151.11	Blog_54523-9491151.11.26	49	AB
Blog_54523-4665614.2	Blog_54523-4665614.2.10	15	SU
Blog_54523-4665614.3	Blog_54523-4665614.3.13	25	SU
Eupa_00-01-17.116	Eupa_00-01-17.116.14	13	PE
Eupa_00-01-17.219	Eupa_00-01-17.219.38	40	SU
Eupa_00-01-17.263	Eupa_00-01-17.263.1	21	PE
Eupa_00-01-17.301	Eupa_00-01-17.301.30	34	SU
Eupa_00-01-17.356	Eupa_00-01-17.356.3	10	PE
Eupa_00-01-17.412	Eupa_00-01-17.412.3	26	PO
Eupa_00-01-17.477	Eupa_00-01-17.477.35	17	AB
Eupa_00-01-17.719	Eupa_00-01-17.719.8	64	SU
Eupa_00-01-17.759	Eupa_00-01-17.759.25	19	SU
Eupa_00-01-17.791	Eupa_00-01-17.791.41	44	PE
Eupa_00-01-17.804	Eupa_00-01-17.804.10	31	AB
Arbt_Vrede.7	Arbt_Vrede.7.nt.3	6	PE
Arbt_Folkomrostningen.21	Arbt_Folkomrostningen.21.nt.3	17	PE
Regr_255856.13	Regr_255856.13.6	11	PE
Regr_255856.14	Regr_255856.14.6	20	PE
Regr_255655.9	Regr_255655.9.26	17	PE
Regr_255655.9	Regr_255655.9.3	34	PE
Arbt_Sundsvallssyndikalister.7	Arbt_Sundsvallssyndikalister.7.nt.10	12	SU
Romn_Lundqvist-Ingentobak.82	Romn_Lundqvist-Ingentobak.82.14	10	SU
Romn_Lundqvist-Ingentobak.99	Romn_Lundqvist-Ingentobak.99.30	39	SU
Romn_Lundqvist-Ingentobak.173	Romn_Lundqvist-Ingentobak.173.10	13	AB
Romn_Lundqvist-Ingentobak.346	Romn_Lundqvist-Ingentobak.346.7	3	AB
Romn_Lundqvist-Ingentobak.412	Romn_Lundqvist-Ingentobak.412.12	13	AB
Romn_Bjelvehammar-TageBengtsson.10	Romn_Bjelvehammar-TageBengtsson.10.24	14	PE
Romn_Holmsen-Polynesiskpassad.38	Romn_Holmsen-Polynesiskpassad.38.4	20	PE
Romn_Holmsen-Polynesiskpassad.39	Romn_Holmsen-Polynesiskpassad.39.11	14	SU
Romn_Holmsen-Polynesiskpassad.40	Romn_Holmsen-Polynesiskpassad.40.3	21	PE
Romn_Holmsen-Polynesiskpassad.212	Romn_Holmsen-Polynesiskpassad.212.6	11	PE
Romn_Holmsen-Polynesiskpassad.299	Romn_Holmsen-Polynesiskpassad.299.5	30	PE
Romn_Holmsen-Polynesiskpassad.313	Romn_Holmsen-Polynesiskpassad.313.1	24	PE
Romn_Holmsen-Polynesiskpassad.320	Romn_Holmsen-Polynesiskpassad.320.1	5	PE
Romn_Holmsen-Polynesiskpassad.342	Romn_Holmsen-Polynesiskpassad.342.7	7	PE
Romn_Strand-Pagarna.283	Romn_Strand-Pagarna.283.10	14	AB
Romn_Strand-Pagarna.360	Romn_Strand-Pagarna.360.16	15	AB
Romn_Strand-Pagarna.386	Romn_Strand-Pagarna.386.7	6	AB
Wiki_HarryPotter.26	Wiki_HarryPotter.26.3	14	PE
Wiki_HarryPotter.91	Wiki_HarryPotter.91.14	12	VB
Wiki_MiominMio.58	Wiki_MiominMio.58.14	11	SU
Wiki_Sverigesriksdag.11	Wiki_Sverigesriksdag.11.17	10	AB
Wiki_Sverigesriksdag.11	Wiki_Sverigesriksdag.11.17	17	AB
Wiki_Sverigesriksdag.11	Wiki_Sverigesriksdag.11.17	39	AB
Wiki_Sverigesriksdag.29	Wiki_Sverigesriksdag.29.18	7	AB
Wiki_Sverigesriksdag.29	Wiki_Sverigesriksdag.29.18	17	AB
Wiki_Sverigesriksdag.76	Wiki_Sverigesriksdag.76.15	22	AB
Wiki_Sverigesriksdag.108	Wiki_Sverigesriksdag.108.11	12	AB
Wiki_Sverigesriksdag.108	Wiki_Sverigesriksdag.108.11	23	AB
