Blog_160886-12595823.10	Blog_160886-12595823.10.14	go down into NT PH	why is 11 a KoP?			
Blog_160886-12595823.16	Blog_160886-12595823.16.2	?	error?			
Blog_160886-12595823.18	Blog_160886-12595823.18.2	promote verkligheten		when a non-terminal, just go down?	1	Non-terminal head
Blog_160886-12595823.21	Blog_160886-12595823.21.5	go down		when coord, use secedge and promote SP to the verb or MD to noun?	2	shared dependents
Blog_160886-11338599.1	Blog_160886-11338599.1.6	go down				
Blog_160886-11338599.1	Blog_160886-11338599.1.5	go down				
Blog_160886-11338599.3	Blog_160886-11338599.3.3	promote första	error? No HD, no secedge	if not error, promote smth	3	elided head in NP
Blog_160886-11338599.4	Blog_160886-11338599.4.6	go down				
Blog_160886-11338599.6	Blog_160886-11338599.6.5	?	why not coordination of (på julafton och inte)			
Blog_160886-11338599.9	Blog_160886-11338599.9.6	?	MD+MD	pick the leftmost item, but what kind of relation? Keep MD in this case	4	no verb
Blog_160886-11338599.9	Blog_160886-11338599.9.1					
Blog_160886-11338557.1	Blog_160886-11338557.1.10					
Blog_160886-11338557.7	Blog_160886-11338557.7.4					
Blog_160886-11338557.11	Blog_160886-11338557.11.6					
Blog_160886-11338557.12	Blog_160886-11338557.12.6					
Blog_160886-12591771.4	Blog_160886-12591771.4.7					
Blog_160886-12591771.9c	Blog_160886-12591771.9.8					
Blog_160886-11338497.1a	Blog_160886-11338497.1.5					
Blog_160886-11338497.2	Blog_160886-11338497.2.5					
Blog_160886-11338497.10	Blog_160886-11338497.10.11					
Blog_160886-11338497.10	Blog_160886-11338497.10.6					
Blog_160886-11338497.21	Blog_160886-11338497.21.nt.16					
Blog_160886-11338497.21	Blog_160886-11338497.21.10					
Blog_188519-10179826.5	Blog_188519-10179826.5.6					
Blog_188519-10179826.11	Blog_188519-10179826.11.9					
Blog_188519-10179826.17	Blog_188519-10179826.17.8					
Blog_188519-10179826.41	Blog_188519-10179826.41.6					
Blog_188519-10179826.44	Blog_188519-10179826.44.2					
Blog_188519-10542620.15	Blog_188519-10542620.15.12					
Blog_188519-10542620.18	Blog_188519-10542620.18.13					
Blog_188519-10542620.24	Blog_188519-10542620.24.9					
Blog_188519-10542620.34	Blog_188519-10542620.34.5					
Blog_188519-10542620.36	Blog_188519-10542620.36.7					
Blog_13263-144355.2	Blog_13263-144355.2.9					
Blog_13263-144355.2	Blog_13263-144355.2.4					
Blog_13263-144355.2	Blog_13263-144355.2.3					
Blog_13263-144355.3	Blog_13263-144355.3.20					
Blog_13263-144355.3	Blog_13263-144355.3.4					
Blog_13263-144355.3	Blog_13263-144355.3.2					
Blog_13263-144355.3	Blog_13263-144355.3.3					
Blog_13263-1168055.5	Blog_13263-1168055.5.9					
Blog_13263-1168055.5	Blog_13263-1168055.5.12					
Blog_13263-255637.2	Blog_13263-255637.2.7					
Blog_13263-255637.2	Blog_13263-255637.2.6					
Blog_13263-637462.4	Blog_13263-637462.4.1					
Blog_13263-862913.2	Blog_13263-862913.2.4					
Blog_13263-862913.3	Blog_13263-862913.3.3					
Blog_13263-213331.3	Blog_13263-213331.3.6					
Blog_13263-213331.3	Blog_13263-213331.3.3					
Blog_13263-85629.2	Blog_13263-85629.2.3					
Blog_13263-1049139.1	Blog_13263-1049139.1.19					
Blog_13263-813010.3	Blog_13263-813010.3.4					
Blog_13263-691527.3	Blog_13263-691527.3.10					
Blog_13263-728008.1	Blog_13263-728008.1.7					
Blog_13263-596973.2	Blog_13263-596973.2.5					
Blog_13263-1087147.3	Blog_13263-1087147.3.13					
Blog_13263-236413.2	Blog_13263-236413.2.14					
Blog_13263-236413.2	Blog_13263-236413.2.12					
Blog_13263-236413.2	Blog_13263-236413.2.1					
Blog_13263-313966.1	Blog_13263-313966.1.9					
Blog_13263-313966.1	Blog_13263-313966.1.11					
Blog_13263-24167.2	Blog_13263-24167.2.1					
Blog_13263-24167.3	Blog_13263-24167.3.10					
Blog_13263-24167.3	Blog_13263-24167.3.9					
Blog_13263-513530.1	Blog_13263-513530.1.18					
Blog_13263-513530.1	Blog_13263-513530.1.25					
Blog_13263-513530.4	Blog_13263-513530.4.9					
Blog_13263-1216693.2	Blog_13263-1216693.2.6					
Blog_13263-1216693.2	Blog_13263-1216693.2.2					
Blog_13263-1216693.2	Blog_13263-1216693.2.10					
Blog_13263-1216693.2	Blog_13263-1216693.2.7					
Blog_12325-1398819.5	Blog_12325-1398819.5.2					
Blog_12325-1398819.5	Blog_12325-1398819.5.1					
Blog_12325-1398819.18	Blog_12325-1398819.18.11					
Blog_12325-1398819.18	Blog_12325-1398819.18.6					
Blog_12325-1398819.25	Blog_12325-1398819.25.6					
Blog_12325-1398819.27a	Blog_12325-1398819.27a.6					
Blog_12325-2172538.10	Blog_12325-2172538.10.4					
Blog_12325-2172538.10	Blog_12325-2172538.10.3					
Blog_12325-1621221.1c	Blog_12325-1621221.1c.nt.12					
Blog_12325-1621221.3a	Blog_12325-1621221.3a.nt.10					
Blog_12325-1621221.4	Blog_12325-1621221.4.nt.13					
Blog_12325-1621221.4	Blog_12325-1621221.4.nt.14					
Blog_12325-2413172.1	Blog_12325-2413172.1.1					
Blog_12325-2413172.7	Blog_12325-2413172.7.16					
Blog_12325-2413172.12	Blog_12325-2413172.12.7					
Blog_12325-2413172.13	Blog_12325-2413172.13.14					
Blog_12325-2413172.13	Blog_12325-2413172.13.10					
Blog_12325-2413172.16	Blog_12325-2413172.16.3					
Blog_12325-2413172.19	Blog_12325-2413172.19.nt.9					
Blog_12325-2413172.20	Blog_12325-2413172.20.nt.7					
Blog_12325-2413172.23	Blog_12325-2413172.23.nt.3					
Blog_12325-1884438.1	Blog_12325-1884438.1.3					
Blog_12325-1884438.6	Blog_12325-1884438.6.10					
Blog_12325-1884438.14	Blog_12325-1884438.14.1					
Blog_12325-1884438.15	Blog_12325-1884438.15.10					
Blog_12325-1884438.15	Blog_12325-1884438.15.nt.13					
Blog_12325-1189192.1a	Blog_12325-1189192.1a.nt.1					
Blog_12325-1189192.3	Blog_12325-1189192.3.11					
Blog_12325-1189192.5	Blog_12325-1189192.5.nt.1					
Blog_12325-1189192.5a	Blog_12325-1189192.5a.nt.2					
Blog_12325-1189192.6	Blog_12325-1189192.6.12					
Blog_12325-1189192.6	Blog_12325-1189192.6.10					
Blog_12325-1189192.9	Blog_12325-1189192.9.nt.5					
Blog_12325-1189192.9	Blog_12325-1189192.9.2					
Blog_12325-1189192.10	Blog_12325-1189192.10.15					
Blog_12325-1189192.11	Blog_12325-1189192.11.12					
Blog_12325-1189192.13	Blog_12325-1189192.13.18					
Blog_12325-1189192.13	Blog_12325-1189192.13.7					
Blog_26224-3394076.1	Blog_26224-3394076.1.1					
Blog_26224-1714803.1	Blog_26224-1714803.1.6					
Blog_26224-1714803.1	Blog_26224-1714803.1.2					
Blog_26224-1714803.1	Blog_26224-1714803.1.5					
Blog_26224-1714803.5	Blog_26224-1714803.5.1					
Blog_26224-1042486.1	Blog_26224-1042486.1.6					
Blog_265827-14454547.14	Blog_265827-14454547.14.2					
Blog_265827-14454547.20	Blog_265827-14454547.20.1					
Blog_265827-14844249.3	Blog_265827-14844249.3.6					
Blog_265827-15106309.6	Blog_265827-15106309.6.nt.6					
Blog_265827-14653745.1	Blog_265827-14653745.1.5					
Blog_265827-14989915.2	Blog_265827-14989915.2.7					
Blog_265827-15165011.1	Blog_265827-15165011.1.nt.10					
Blog_265827-15165011.1	Blog_265827-15165011.1.nt.9					
Blog_265827-14454566.3	Blog_265827-14454566.3.4					
Blog_265827-14454804.3	Blog_265827-14454804.3.nt.7					
Blog_265827-14454804.3	Blog_265827-14454804.3.nt.6					
Blog_265827-14454804.5	Blog_265827-14454804.5.6					
Blog_265827-14454804.7	Blog_265827-14454804.7.12					
Blog_265827-14454804.7	Blog_265827-14454804.7.11					
Blog_265827-14454804.7	Blog_265827-14454804.7.10					
Blog_265827-14889090.3	Blog_265827-14889090.3.6					
Blog_265827-14889090.4	Blog_265827-14889090.4.2					
Blog_265827-14455040.3	Blog_265827-14455040.3.2					
Blog_265827-14922303.1	Blog_265827-14922303.1.1					
Blog_265827-8186120.1	Blog_265827-8186120.1.15					
Blog_265827-8186120.3	Blog_265827-8186120.3.10					
Blog_265827-14844246.4	Blog_265827-14844246.4.4					
Blog_265827-15246480.4	Blog_265827-15246480.4.3					
Blog_265827-14455131.3	Blog_265827-14455131.3.4					
Blog_265827-15106306.4	Blog_265827-15106306.4.7					
