Blog_160886-12595823.10	went down from Blog_160886-12595823.10.14	1 does not contain a head
Blog_160886-11338599.4	went down from Blog_160886-11338599.4.6	0 does not contain a head
Blog_188519-10542620.18	went down from Blog_188519-10542620.18.13	0 does not contain a head
Blog_188519-10542620.24	went down from Blog_188519-10542620.24.9	0 does not contain a head
Blog_13263-1168055.5	went down from Blog_13263-1168055.5.12	0 does not contain a head
Blog_13263-1049139.1	went down from Blog_13263-1049139.1.19	0 does not contain a head
Blog_13263-1216693.2	went down from Blog_13263-1216693.2.6	1 does not contain a head
Blog_12325-1621221.3a	went down from Blog_12325-1621221.3a.nt.10	0 does not contain a head
Blog_12325-1884438.15	went down from Blog_12325-1884438.15.nt.13	0 does not contain a head
Blog_265827-8186120.3	went down from Blog_265827-8186120.3.10	2 does not contain a head
Blog_6843-4868011.1	went down from Blog_6843-4868011.1.nt.11	0 does not contain a head
Blog_6843-4255016.14	went down from Blog_6843-4255016.14.10	1 does not contain a head
Blog_6843-3465275.2	went down from Blog_6843-3465275.2.25	0 does not contain a head
Blog_6843-2767923.16	went down from Blog_6843-2767923.16.24	0 does not contain a head
Blog_6843-2767923.16	went down from Blog_6843-2767923.16.20	0 does not contain a head
Blog_6843-2767923.19	went down from Blog_6843-2767923.19.20	0 does not contain a head
Blog_6843-2767923.19	went down from Blog_6843-2767923.19.16	0 does not contain a head
Blog_5089-9048317.3	went down from Blog_5089-9048317.3.21	0 does not contain a head
Blog_5089-12282516.13	went down from Blog_5089-12282516.13.10	0 does not contain a head
Blog_9154-6030495.3	went down from Blog_9154-6030495.3.15	0 does not contain a head
Blog_9154-6030495.12	went down from Blog_9154-6030495.12.10	0 does not contain a head
Blog_54523-8202951.12c	went down from Blog_54523-8202951.12c.37	0 does not contain a head
Eupa_00-01-17.14	went down from Eupa_00-01-17.14.42	0 does not contain a head
Eupa_00-01-17.163	went down from Eupa_00-01-17.163.nt.36	0 does not contain a head
Eupa_00-01-17.218	went down from Eupa_00-01-17.218.nt.35	0 does not contain a head
Eupa_00-01-17.240	went down from Eupa_00-01-17.240.17	0 does not contain a head
Eupa_00-01-17.249	went down from Eupa_00-01-17.249.8	0 does not contain a head
Eupa_00-01-17.287	went down from Eupa_00-01-17.287.4	1 does not contain a head
Eupa_00-01-17.316	went down from Eupa_00-01-17.316.11	1 does not contain a head
Eupa_00-01-17.409	went down from Eupa_00-01-17.409.16	0 does not contain a head
Eupa_00-01-17.443	went down from Eupa_00-01-17.443.9	0 does not contain a head
Eupa_00-01-17.456	went down from Eupa_00-01-17.456.12	1 does not contain a head
Eupa_00-01-17.461	went down from Eupa_00-01-17.461.14	0 does not contain a head
Eupa_00-01-17.487	went down from Eupa_00-01-17.487.36	0 does not contain a head
Eupa_00-01-17.520	went down from Eupa_00-01-17.520.27	0 does not contain a head
Eupa_00-01-17.601	went down from Eupa_00-01-17.601.23	0 does not contain a head
Eupa_00-01-17.626	went down from Eupa_00-01-17.626.16	0 does not contain a head
Eupa_00-01-17.627	went down from Eupa_00-01-17.627.3	2 does not contain a head
Eupa_00-01-17.632	went down from Eupa_00-01-17.632.18	0 does not contain a head
Eupa_00-01-17.639	went down from Eupa_00-01-17.639.10	0 does not contain a head
Eupa_00-01-17.700	went down from Eupa_00-01-17.700.29	0 does not contain a head
Eupa_00-01-17.706	went down from Eupa_00-01-17.706.10	1 does not contain a head
Eupa_00-01-17.706	went down from Eupa_00-01-17.706.11	1 does not contain a head
Eupa_00-01-17.747	went down from Eupa_00-01-17.747.29	1 does not contain a head
Eupa_00-01-17.790	went down from Eupa_00-01-17.790.17	1 does not contain a head
Arbt_Fackfientlig.7	went down from Arbt_Fackfientlig.7.nt.5	0 does not contain a head
Arbt_Vrede.5	went down from Arbt_Vrede.5.nt.8	0 does not contain a head
Regr_255268.17	went down from Regr_255268.17.8	0 does not contain a head
Arbt_Ariel.7	went down from Arbt_Ariel.7.nt.9	0 does not contain a head
Digi_2015-02.24	went down from Digi_2015-02.24.20	0 does not contain a head
Arbt_Kraftigaprotester.8	went down from Arbt_Kraftigaprotester.8.nt.6	0 does not contain a head
Arbt_Kraftigaprotester.19	went down from Arbt_Kraftigaprotester.19.11	0 does not contain a head
Arbt_Kraftigaprotester.25	went down from Arbt_Kraftigaprotester.25.nt.14	0 does not contain a head
Digi_2014-05.8	went down from Digi_2014-05.8.12	0 does not contain a head
Arbt_Flervarsel.3	went down from Arbt_Flervarsel.3.nt.5	1 does not contain a head
Arbt_Vardbolag.12	went down from Arbt_Vardbolag.12.nt.21	0 does not contain a head
Arbt_Spekulationer.10	went down from Arbt_Spekulationer.10.nt.22	0 does not contain a head
Arbt_Vansterpartiets.21	went down from Arbt_Vansterpartiets.21.nt.6	0 does not contain a head
Regr_255706.24	went down from Regr_255706.24.9	0 does not contain a head
Regr_255855.11	went down from Regr_255855.11.11	1 does not contain a head
Romn_Lundqvist-Ingentobak.24	went down from Romn_Lundqvist-Ingentobak.24.16	0 does not contain a head
Romn_Lundqvist-Ingentobak.26	went down from Romn_Lundqvist-Ingentobak.26.19	0 does not contain a head
Romn_Lundqvist-Ingentobak.39	went down from Romn_Lundqvist-Ingentobak.39.9	0 does not contain a head
Romn_Lundqvist-Ingentobak.96	went down from Romn_Lundqvist-Ingentobak.96.13	0 does not contain a head
Romn_Lundqvist-Ingentobak.141	went down from Romn_Lundqvist-Ingentobak.141.4	0 does not contain a head
Romn_Lundqvist-Ingentobak.167	went down from Romn_Lundqvist-Ingentobak.167.24	0 does not contain a head
Romn_Lundqvist-Ingentobak.182	went down from Romn_Lundqvist-Ingentobak.182.15	0 does not contain a head
Romn_Lundqvist-Ingentobak.234	went down from Romn_Lundqvist-Ingentobak.234.8	0 does not contain a head
Romn_Lundqvist-Ingentobak.344	went down from Romn_Lundqvist-Ingentobak.344.2	1 does not contain a head
Romn_Lundqvist-Ingentobak.427	went down from Romn_Lundqvist-Ingentobak.427.2	1 does not contain a head
Romn_Bjelvehammar-TageBengtsson.101	went down from Romn_Bjelvehammar-TageBengtsson.101.4	2 does not contain a head
Romn_Bjelvehammar-TageBengtsson.241	went down from Romn_Bjelvehammar-TageBengtsson.241.4	1 does not contain a head
Romn_Holmsen-Polynesiskpassad.42	went down from Romn_Holmsen-Polynesiskpassad.42.3	0 does not contain a head
Romn_Holmsen-Polynesiskpassad.113	went down from Romn_Holmsen-Polynesiskpassad.113.16	0 does not contain a head
Romn_Holmsen-Polynesiskpassad.169	went down from Romn_Holmsen-Polynesiskpassad.169.13	0 does not contain a head
Romn_Holmsen-Polynesiskpassad.238	went down from Romn_Holmsen-Polynesiskpassad.238.6	0 does not contain a head
Romn_Holmsen-Polynesiskpassad.239	went down from Romn_Holmsen-Polynesiskpassad.239.6	0 does not contain a head
Romn_Holmsen-Polynesiskpassad.243	went down from Romn_Holmsen-Polynesiskpassad.243.9	0 does not contain a head
Romn_Holmsen-Polynesiskpassad.269	went down from Romn_Holmsen-Polynesiskpassad.269.10	0 does not contain a head
Romn_Holmsen-Polynesiskpassad.349	went down from Romn_Holmsen-Polynesiskpassad.349.12	0 does not contain a head
Romn_Strand-Pagarna.167	went down from Romn_Strand-Pagarna.167.13	0 does not contain a head
Romn_Strand-Pagarna.279	went down from Romn_Strand-Pagarna.279.2	2 does not contain a head
Romn_Strand-Pagarna.283	went down from Romn_Strand-Pagarna.283.14	0 does not contain a head
Wiki_Asterix.18	went down from Wiki_Asterix.18.26	0 does not contain a head
Wiki_Asterix.25	went down from Wiki_Asterix.25.31	0 does not contain a head
Wiki_Asterix.26	went down from Wiki_Asterix.26.12	0 does not contain a head
Wiki_Asterix.75	went down from Wiki_Asterix.75.7	0 does not contain a head
Wiki_Kvadrat.4	went down from Wiki_Kvadrat.4.12	0 does not contain a head
Wiki_HarryPotter.8	went down from Wiki_HarryPotter.8.7	1 does not contain a head
Wiki_HarryPotter.28	went down from Wiki_HarryPotter.28.21	0 does not contain a head
Wiki_HarryPotter.28	went down from Wiki_HarryPotter.28.17	0 does not contain a head
Wiki_HarryPotter.28	went down from Wiki_HarryPotter.28.7	1 does not contain a head
Wiki_HarryPotter.39	went down from Wiki_HarryPotter.40.2	1 does not contain a head
Wiki_HarryPotter.60	went down from Wiki_HarryPotter.60.4	0 does not contain a head
Wiki_HarryPotter.75	went down from Wiki_HarryPotter.75.11	0 does not contain a head
Wiki_HarryPotter.82	went down from Wiki_HarryPotter.82.23	1 does not contain a head
Wiki_HarryPotter.88	went down from Wiki_HarryPotter.88.19	0 does not contain a head
Wiki_Saganomringenfilm.1	went down from Wiki_Saganomringenfilm.1.5	0 does not contain a head
Wiki_Saganomringenfilm.2	went down from Wiki_Saganomringenfilm.2.15	0 does not contain a head
Wiki_Saganomringenfilm.16	went down from Wiki_Saganomringenfilm.16.4	0 does not contain a head
Wiki_Saganomringenfilm.71	went down from Wiki_Saganomringenfilm.71.5	0 does not contain a head
Wiki_Saganomringenfilm.78	went down from Wiki_Saganomringenfilm.78.12	1 does not contain a head
Wiki_VascodaGama.4	went down from Wiki_VascodaGama.4.33	0 does not contain a head
Wiki_VascodaGama.4	went down from Wiki_VascodaGama.4.38	0 does not contain a head
Wiki_VascodaGama.45	went down from Wiki_VascodaGama.45.17	0 does not contain a head
Wiki_VascodaGama.47	went down from Wiki_VascodaGama.47.24	0 does not contain a head
Wiki_Symaskin.9	went down from Wiki_Symaskin.9.14	0 does not contain a head
Wiki_Symaskin.32	went down from Wiki_Symaskin.32.7	0 does not contain a head
Wiki_Vader.11	went down from Wiki_Vader.11.7	0 does not contain a head
Wiki_Vader.84	went down from Wiki_Vader.84.16	0 does not contain a head
Wiki_Vader.117	went down from Wiki_Vader.117.19	0 does not contain a head
Wiki_Vader.117	went down from Wiki_Vader.117.18	0 does not contain a head
Wiki_Vader.152	went down from Wiki_Vader.152.9	0 does not contain a head
Wiki_Vader.194	went down from Wiki_Vader.194.20	0 does not contain a head
Wiki_AlexanderFleming.22	went down from Wiki_AlexanderFleming.22.13	1 does not contain a head
Wiki_MiominMio.118	went down from Wiki_MiominMio.118.10	0 does not contain a head
Wiki_MiominMio.143	went down from Wiki_MiominMio.143.18	1 does not contain a head
Wiki_MiominMio.143	went down from Wiki_MiominMio.143.14	1 does not contain a head
Wiki_MiominMio.144	went down from Wiki_MiominMio.144.5	1 does not contain a head
Wiki_MiominMio.147	went down from Wiki_MiominMio.147.10	2 does not contain a head
Wiki_Jonssonligan.10	went down from Wiki_Jonssonligan.10.10	0 does not contain a head
Wiki_Jonssonligan.36	went down from Wiki_Jonssonligan.36.9	0 does not contain a head
Wiki_Sverigesriksdag.6	went down from Wiki_Sverigesriksdag.6.3	1 does not contain a head
Wiki_Sverigesriksdag.42	went down from Wiki_Sverigesriksdag.42.14	0 does not contain a head
Wiki_Sverigesriksdag.44	went down from Wiki_Sverigesriksdag.44.2	3 does not contain a head
Wiki_Sverigesriksdag.58	went down from Wiki_Sverigesriksdag.58.4	0 does not contain a head
Wiki_Sverigesriksdag.76	went down from Wiki_Sverigesriksdag.76.18	1 does not contain a head
Wiki_Sverigesriksdag.104	went down from Wiki_Sverigesriksdag.104.13	0 does not contain a head
Wiki_Sverigesriksdag.106	went down from Wiki_Sverigesriksdag.106.11	0 does not contain a head
