Blog_12325-1189192.9	Blog_12325-1189192.9.2	AbP	MD MD	
Arbt_Hardkritik.28	Arbt_Hardkritik.28.nt.4	AbP	MD JF	
Arbt_Vardbolag.6	Arbt_Vardbolag.6.nt.13	AbP	MD	HD
Romn_Holmsen-Polynesiskpassad.222	Romn_Holmsen-Polynesiskpassad.222.2	AbP	MD AN	
Romn_Strand-Pagarna.126	Romn_Strand-Pagarna.126.11	AbP	MD MD	
Romn_Strand-Pagarna.373	Romn_Strand-Pagarna.373.3	AbP	DF MD	
Blog_5089-62681.15	Blog_5089-62681.15.12	AjP	OA	HD
Arbt_Polisjakt.2	Arbt_Polisjakt.2.nt.9	AjP	MD MD	
Regr_255926.5	Regr_255926.5.13	AjP	MD MD	
Romn_Lundqvist-Ingentobak.45	Romn_Lundqvist-Ingentobak.45.16	AjP	MD AG	HD
Romn_Lundqvist-Ingentobak.65	Romn_Lundqvist-Ingentobak.65.12	AjP	OO	HD
Romn_Lundqvist-Ingentobak.65	Romn_Lundqvist-Ingentobak.65.13	AjP	OO	HD
Romn_Lundqvist-Ingentobak.65	Romn_Lundqvist-Ingentobak.65.16	AjP	OO	HD
Romn_Lundqvist-Ingentobak.65	Romn_Lundqvist-Ingentobak.65.11	AjP	DF DF MD OO	HD
Romn_Strand-Pagarna.429	Romn_Strand-Pagarna.429.9	AjP	OA	HD MD
Wiki_Asterix.18	Wiki_Asterix.18.3	AjP	MD MD	
Wiki_Asterix.97	Wiki_Asterix.97.9	AjP	MD MD	
Wiki_Symaskin.4	Wiki_Symaskin.4.11	AjP	MD MD	
Wiki_Vader.168	Wiki_Vader.168.19	AjP	MD MD	
Wiki_Sverigesriksdag.86	Wiki_Sverigesriksdag.86.6	AjP	OO MD	HD
Wiki_Sverigesriksdag.86	Wiki_Sverigesriksdag.86.9	AjP	OA MD	HD
Blog_12325-1884438.14	Blog_12325-1884438.14.1	IjP	ME ME ME	
Blog_13263-144355.3	Blog_13263-144355.3.4	KoP	KL KL	
Blog_13263-1168055.5	Blog_13263-1168055.5.9	KoP	KL KL KL	
Blog_12325-1621221.4	Blog_12325-1621221.4.nt.14	KoP	KL KL KL KL	
Blog_12325-2413172.16	Blog_12325-2413172.16.3	KoP	KL KL	
Blog_12325-1189192.6	Blog_12325-1189192.6.12	KoP	KL KL	
Blog_12325-1189192.13	Blog_12325-1189192.13.18	KoP	KL KL	
Blog_26224-1714803.1	Blog_26224-1714803.1.6	KoP	KL KL	
Blog_265827-15106309.6	Blog_265827-15106309.6.nt.6	KoP	KL KL KL DF KL KL DF KL	
Blog_265827-15165011.1	Blog_265827-15165011.1.nt.10	KoP	KL KL	
Blog_265827-14454804.3	Blog_265827-14454804.3.nt.7	KoP	KL KL	
Blog_265827-8186120.1	Blog_265827-8186120.1.15	KoP	KL KL	
Blog_265827-14844246.4	Blog_265827-14844246.4.4	KoP	DF KL KL	
Blog_265827-14749673.5	Blog_265827-14749673.5.nt.6	KoP	KL KL	
Blog_6843-5164672.15	Blog_6843-5164672.15.11	KoP	KL KL	
Blog_6843-4328736.4	Blog_6843-4328736.4.3	KoP	KL KL	
Blog_5089-9240616.30	Blog_5089-9240616.30.6	KoP	KL KL	
Blog_54523-8202951.5	Blog_54523-8202951.5.13	KoP	KL KL	
Blog_54523-4665614.2	Blog_54523-4665614.2.10	KoP	KL KL KL	
Eupa_00-01-17.102	Eupa_00-01-17.102.63	KoP	KL KL	
Eupa_00-01-17.165	Eupa_00-01-17.165.4	KoP	KL KL	
Eupa_00-01-17.272	Eupa_00-01-17.272.nt.34	KoP	KL KL	
Eupa_00-01-17.272	Eupa_00-01-17.272.20	KoP	KL KL	
Eupa_00-01-17.293	Eupa_00-01-17.293.nt.4	KoP	KL KL KL	
Eupa_00-01-17.310	Eupa_00-01-17.310.19	KoP	KL KL	
Eupa_00-01-17.313	Eupa_00-01-17.313.nt.3	KoP	KL KL	
Eupa_00-01-17.315	Eupa_00-01-17.315.14	KoP	KL KL	
Eupa_00-01-17.329	Eupa_00-01-17.329.10	KoP	KL KL KL	
Eupa_00-01-17.334	Eupa_00-01-17.334.nt.3	KoP	KL KL	
Eupa_00-01-17.338	Eupa_00-01-17.338.4	KoP	KL KL KL	
Eupa_00-01-17.343	Eupa_00-01-17.343.15	KoP	KL KL KL	
Eupa_00-01-17.365	Eupa_00-01-17.365.13	KoP	KL KL	
Eupa_00-01-17.375	Eupa_00-01-17.375.21	KoP	KL KL KL KL	
Eupa_00-01-17.384	Eupa_00-01-17.384.nt.3	KoP	KL KL	
Eupa_00-01-17.405	Eupa_00-01-17.405.6	KoP	KL KL KL KL KL KL KL KL	
Eupa_00-01-17.440	Eupa_00-01-17.440.21	KoP	KL KL	
Eupa_00-01-17.466	Eupa_00-01-17.466.nt.4	KoP	KL KL KL	
Eupa_00-01-17.476	Eupa_00-01-17.476.18	KoP	KL KL KL KL KL KL KL KL	
Eupa_00-01-17.481	Eupa_00-01-17.481.nt.4	KoP	KL KL KL	
Eupa_00-01-17.512	Eupa_00-01-17.512.nt.4	KoP	KL KL KL	
Eupa_00-01-17.527	Eupa_00-01-17.527.6	KoP	KL KL	
Eupa_00-01-17.540	Eupa_00-01-17.540.5	KoP	KL KL	
Eupa_00-01-17.550	Eupa_00-01-17.550.10	KoP	KL KL KL	
Eupa_00-01-17.585	Eupa_00-01-17.585.nt.4	KoP	KL KL KL	
Eupa_00-01-17.630	Eupa_00-01-17.630.17	KoP	KL KL	
Eupa_00-01-17.675	Eupa_00-01-17.675.23	KoP	KL KL KL	
Eupa_00-01-17.710	Eupa_00-01-17.710.7	KoP	KL KL	
Eupa_00-01-17.714	Eupa_00-01-17.714.24	KoP	KL KL	
Eupa_00-01-17.716	Eupa_00-01-17.716.15	KoP	KL KL	
Eupa_00-01-17.731	Eupa_00-01-17.731.17	KoP	KL KL KL	
Eupa_00-01-17.766	Eupa_00-01-17.766.nt.7	KoP	KL KL KL KL	
Arbt_Polisjakt.27	Arbt_Polisjakt.27.nt.12	KoP	KL KL	
Arbt_Ariel.19	Arbt_Ariel.19.6	KoP	KL KL	
Arbt_Ariel.19	Arbt_Ariel.19.nt.1	KoP	KL KL	
Arbt_Rwanda.14	Arbt_Rwanda.14.nt.20	KoP	KL KL	
Regr_255706.7	Regr_255706.7.1	KoP	KL KL KL KL	
Romn_Lundqvist-Ingentobak.70	Romn_Lundqvist-Ingentobak.70.nt.7	KoP	KL KL	
Romn_Lundqvist-Ingentobak.88	Romn_Lundqvist-Ingentobak.88.10	KoP	KL KL KL	
Romn_Lundqvist-Ingentobak.170	Romn_Lundqvist-Ingentobak.170.8	KoP	KL KL KL	
Romn_Lundqvist-Ingentobak.199	Romn_Lundqvist-Ingentobak.199.4	KoP	KL KL KL	
Romn_Lundqvist-Ingentobak.295	Romn_Lundqvist-Ingentobak.295.13	KoP	KL KL KL	
Romn_Lundqvist-Ingentobak.310	Romn_Lundqvist-Ingentobak.310.nt.9	KoP	KL KL	
Romn_Lundqvist-Ingentobak.358	Romn_Lundqvist-Ingentobak.358.23	KoP	KL KL	
Romn_Lundqvist-Ingentobak.359	Romn_Lundqvist-Ingentobak.359.18	KoP	KL KL	
Romn_Lundqvist-Ingentobak.362	Romn_Lundqvist-Ingentobak.362.11	KoP	KL KL	
Romn_Lundqvist-Ingentobak.375	Romn_Lundqvist-Ingentobak.375.9	KoP	KL KL KL	
Romn_Lundqvist-Ingentobak.382	Romn_Lundqvist-Ingentobak.382.nt.12	KoP	KL KL KL	
Romn_Lundqvist-Ingentobak.405	Romn_Lundqvist-Ingentobak.405.13	KoP	KL KL	
Romn_Bjelvehammar-TageBengtsson.12	Romn_Bjelvehammar-TageBengtsson.12.nt.8	KoP	KL KL KL	
Romn_Bjelvehammar-TageBengtsson.28	Romn_Bjelvehammar-TageBengtsson.28.nt.9	KoP	KL KL	
Romn_Bjelvehammar-TageBengtsson.42	Romn_Bjelvehammar-TageBengtsson.42.11	KoP	KL KL	
Romn_Bjelvehammar-TageBengtsson.59	Romn_Bjelvehammar-TageBengtsson.59.nt.15	KoP	KL KL KL	
Romn_Bjelvehammar-TageBengtsson.83	Romn_Bjelvehammar-TageBengtsson.83.11	KoP	KL KL	
Romn_Bjelvehammar-TageBengtsson.152	Romn_Bjelvehammar-TageBengtsson.152.10	KoP	KL KL	
Romn_Bjelvehammar-TageBengtsson.178	Romn_Bjelvehammar-TageBengtsson.178.nt.19	KoP	KL KL KL	
Romn_Bjelvehammar-TageBengtsson.190	Romn_Bjelvehammar-TageBengtsson.190.nt.3	KoP	KL KL	
Romn_Bjelvehammar-TageBengtsson.204	Romn_Bjelvehammar-TageBengtsson.204.7	KoP	KL KL	
Romn_Bjelvehammar-TageBengtsson.224	Romn_Bjelvehammar-TageBengtsson.224.12	KoP	KL KL	
Romn_Holmsen-Polynesiskpassad.37	Romn_Holmsen-Polynesiskpassad.37.6	KoP	KL KL KL	
Romn_Holmsen-Polynesiskpassad.42	Romn_Holmsen-Polynesiskpassad.42.13	KoP	KL KL	
Romn_Holmsen-Polynesiskpassad.43	Romn_Holmsen-Polynesiskpassad.43.18	KoP	KL KL KL	
Romn_Holmsen-Polynesiskpassad.68	Romn_Holmsen-Polynesiskpassad.68.16	KoP	KL KL KL	
Romn_Holmsen-Polynesiskpassad.113	Romn_Holmsen-Polynesiskpassad.113.5	KoP	KL KL KL KL KL KL KL	
Romn_Holmsen-Polynesiskpassad.126	Romn_Holmsen-Polynesiskpassad.126.8	KoP	KL KL KL	
Romn_Holmsen-Polynesiskpassad.135	Romn_Holmsen-Polynesiskpassad.135.5	KoP	KL KL	
Romn_Holmsen-Polynesiskpassad.246	Romn_Holmsen-Polynesiskpassad.246.7	KoP	KL KL KL	
Romn_Holmsen-Polynesiskpassad.262	Romn_Holmsen-Polynesiskpassad.262.14	KoP	KL KL KL	
Romn_Holmsen-Polynesiskpassad.283	Romn_Holmsen-Polynesiskpassad.283.22	KoP	KL KL KL KL	
Romn_Holmsen-Polynesiskpassad.323	Romn_Holmsen-Polynesiskpassad.323.5	KoP	KL KL	
Romn_Holmsen-Polynesiskpassad.365	Romn_Holmsen-Polynesiskpassad.365.12	KoP	KL KL	
Romn_Holmsen-Polynesiskpassad.414	Romn_Holmsen-Polynesiskpassad.414.15	KoP	KL KL	
Romn_Strand-Pagarna.429	Romn_Strand-Pagarna.429.12	KoP	KL KL	
Wiki_Asterix.19	Wiki_Asterix.19.19	KoP	KL KL	
Wiki_Asterix.20	Wiki_Asterix.20.43	KoP	KL KL	
Wiki_HarryPotter.19	Wiki_HarryPotter.19.26	KoP	KL KL	
Wiki_HarryPotter.27	Wiki_HarryPotter.27.22	KoP	KL	
Wiki_HarryPotter.44	Wiki_HarryPotter.44.12	KoP	KL KL	
Wiki_HarryPotter.44	Wiki_HarryPotter.44.4	KoP	KL KL	
Wiki_HarryPotter.63	Wiki_HarryPotter.63.16	KoP	KL KL	
